date,CPIAUCSL
2020-10-31,99.21087864965214
2020-11-30,99.04441603847403
2020-12-31,100.51812292460689
2021-01-31,100.91413861552209
2021-02-28,102.04460997839857
2021-03-31,102.8376025113144
2021-04-30,102.38875376155303
2021-05-31,103.1484293935373
2021-06-30,103.02816301691547
2021-07-31,102.90206775880424
2021-08-31,103.20785907441955
2021-09-30,101.83939468903458
2021-10-31,103.25716822251762
2021-11-30,102.77073436414419
2021-12-31,104.00426006107647
2022-01-31,104.354048357369
2022-02-28,106.16149499485044
2022-03-31,105.67318458865
2022-04-30,105.55504740361192
2022-05-31,106.1226898600731
2022-06-30,103.99230753249991
2022-07-31,105.06126675919818
2022-08-31,106.89104571412335
2022-09-30,108.30928337005037
2022-10-31,109.34338752963974
2022-11-30,109.40245713132244
2022-12-31,111.02369458000956
2023-01-31,112.43817044660346
2023-02-28,113.10450248193136
2023-03-31,113.33649600497581
2023-04-30,113.15315510037178
2023-05-31,111.98741486631451
2023-06-30,113.58461218141103
2023-07-31,111.34467378067244
2023-08-31,111.1552237734867
2023-09-30,111.56025125531957
2023-10-31,112.74265736788138
2023-11-30,114.95428637448042
2023-12-31,116.32606320526281
2024-01-31,116.21959993329318
2024-02-29,117.29826606794258
2024-03-31,116.05302730362399
2024-04-30,117.94462030703431
2024-05-31,117.99595531990414
2024-06-30,117.43693868496146
2024-07-31,116.92131994402675
2024-08-31,117.08341810972587
2024-09-30,116.85769893278079
2024-10-31,119.76735040271103
2024-11-30,119.1467385716081
2024-12-31,119.42388311124463
2025-01-31,119.69622915198414
2025-02-28,119.96946227510881
2025-03-31,120.27579933263522
2025-04-30,119.93714735432344
2025-05-31,119.47729933552426
2025-06-30,118.68616785038296
2025-07-31,117.15728276669314
2025-08-31,117.64501654033597
2025-09-30,119.03837629401197
